Mean age at birth by region, 2005;;
;;
Region;Mean;
ITE na/Centro (I);31.4;
ITE1 na/Toscana;31.2;
ITE2 na/Umbria;30.8;
ITE3 na/Marche;31.0;
ITE4 na/Lazio;31.7;
ITF na/Sud;30.5;
ITF1 na/Abruzzo;31.4;
ITF2 na/Molise;31.5;
ITF3 na/Campania;30.2;
ITF4 na/Puglia;30.5;
ITF5 na/Basilicata;31.3;
ITF6 na/Calabria;30.6;
ITG na/Isole;30.3;
ITG1 na/Sicilia;30.0;
ITG2 na/Sardegna;31.9;
LI Liechtenstein/Liechtenstein;31.2;
LT Lithuania/Lietuva;27.6;
LT001 Alytus county/Alytaus apskritis;27.1;
LT002 Kaunas county/Kauno apskritis;27.9;
LT003 Klaipeda county/Klaipedos apskritis;27.4;
LT004 Marijampole county/Marijampoles apskritis;27.1;
LT005 Panevezys county/Paneve¸io apskritis;27.7;
LT006 Siauliai county/Siauliu apskritis;27.4;
LT007 Taurage county/Taurages apskritis;27.0;
LT008 Telsiai county/Tel¨iu apskritis;26.8;
LT009 Utena county/Utenos apskritis;27.5;
LT00A Vilnius county/Vilniaus apskritis;28.1;
LU Luxembourg/Luxembourg (Grand-Duché);29.8;
LV Latvia/Latvija;27.7;
MT Malta/Malta;27.9;
na Russian Federation/Russia;26.6;
na Germany (East)/Neue Bundesländer;28.7;
na Germany (West)/Alte Bundesländer;29.6;
na Albania/Republika e Shqipërisë;27.8;
na Former Yugoslav Republic of Macedonia/Republika Makedonija;27.2;
na Montenegro/Montenegrin;28.4;
na Serbia/Republika Srbija;27.4;
na Israel/Israel;29.5;
na Newfoundland/Newfoundland;28.5;
na Northwest Territories/Northwest Territories;27.8;
na Nunavut/Nunavut;24.7;
na Metropolitan France/France métropolitaine;29.6;
NL Netherlands/Nederland;30.6;
NO Norway/Norge;29.8;
PL Poland/Polska;28.2;
PT Portugal/Portugal;29.3;
RO Romania/Romania;26.7;
SE Sweden/Sverige;30.5;
SI Slovenia/Slovenija;29.4;
SK Slovakia/Slovenská Republika;27.7;
UK United Kingdom/United Kingdom;29.1;
EXTRA EU:;;
US United States/United States ;27.9;
CA Canada/Canada;29.2;
na Prince Edward Island/Prince Edward Island;28.0;
na Nova Scotia/Nova Scotia;28.6;
na New Brunswick/New Brunswick;27.9;
na Quebec/Quebec;28.9;
na Ontario/Ontario;30.0;
na Manitoba/Manitoba;27.8;
na Saskatchewan/Saskatchewan;27.0;
na Alberta/Alberta;28.6;
na British Columbia/British Columbia;29.9;
na Yukon Territory/Yukon Territory;29.2;
